Step	Loss	GPU Memory (MB)	CPU Usage (%)	Step Time (s)
Total Training Samples: 6961
Unique Samples: 6769
8	7.1808	9804.17	17.50	0.5464
8	7.4918	9804.17	15.40	0.5499
8	7.6943	9804.17	15.80	0.5473
8	7.1129	9804.17	16.20	0.5468
8	7.5362	9804.17	15.80	0.5465
8	7.2604	9804.17	16.70	0.5461
8	7.8790	9804.17	15.50	0.5460
8	7.2114	9804.17	15.70	0.5464
8	6.5867	9804.17	15.50	0.5465
8	7.2514	9804.17	16.20	0.5469
8	7.2751	9804.17	14.90	0.5470
8	7.4228	9804.17	14.50	0.5468
8	7.0286	9804.17	16.20	0.5465
8	6.7416	9804.17	16.00	0.5487
8	7.2310	9804.17	16.40	0.5464
8	7.2499	9804.17	14.50	0.5466
8	7.0617	9804.17	15.30	0.5465
8	7.0840	9804.17	16.50	0.5476
8	7.7791	9804.17	15.30	0.5462
8	7.2595	9804.17	16.30	0.5464
8	7.1239	9804.17	13.00	0.5495
8	7.4224	9804.17	16.10	0.5474
8	7.3026	9804.17	15.50	0.5463
8	6.9201	9804.17	15.30	0.5465
8	7.4720	9804.17	16.30	0.5463
8	7.7758	9804.17	16.70	0.5464
8	7.5288	9804.17	17.20	0.5467
8	7.5607	9804.17	14.80	0.5468
8	7.2222	9804.17	16.80	0.5467
9	6.8193	9804.17	15.50	0.5469
9	6.5197	9804.17	15.50	0.5465
9	7.5804	9804.17	16.30	0.5473
9	7.7701	9804.17	15.90	0.5465
9	7.1777	9804.17	16.20	0.5470
9	7.0007	9804.17	15.40	0.5469
9	7.4777	9804.17	14.60	0.5470
9	7.8274	9804.17	15.70	0.5464
9	7.4054	9804.17	15.30	0.5481
9	6.7632	9804.17	15.80	0.5471
9	7.4294	9804.17	14.60	0.5468
9	7.7272	9804.17	14.50	0.5470
9	7.6105	9804.17	15.00	0.5486
9	7.6451	9804.17	15.30	0.5465
9	6.9980	9804.17	14.10	0.5475
9	7.2747	9804.17	13.60	0.5468
9	7.5522	9804.17	14.60	0.5482
9	6.9186	9804.17	16.90	0.5467
9	7.4088	9804.17	16.30	0.5495
9	7.6747	9804.17	16.10	0.5470
9	7.8080	9804.17	16.30	0.5468
9	7.1517	9804.17	16.00	0.5466
9	7.7874	9804.17	16.60	0.5471
9	7.4159	9804.17	18.70	0.5467
9	8.2553	9804.17	16.70	0.5474
9	7.7083	9804.17	16.10	0.5466
9	7.9821	9804.17	15.50	0.5467
9	7.8036	9804.17	14.60	0.5513
9	7.1806	9804.17	16.30	0.5466
9	7.0483	9804.17	16.60	0.5472
9	7.4785	9804.17	15.60	0.5461
9	7.2614	9804.17	16.10	0.5460
10	7.0482	9804.17	15.10	0.5425
10	7.1067	9804.17	15.60	0.5454
10	7.0955	9804.17	14.10	0.5460
10	7.3248	9804.17	13.10	0.5461
10	6.6300	9804.17	14.10	0.5471
10	7.6319	9804.17	15.30	0.5456
10	6.9736	9804.17	15.80	0.5461
10	6.9709	9804.17	13.50	0.5455
10	6.7364	9804.17	16.40	0.5467
10	7.8810	9804.17	14.20	0.5456
10	7.4138	9804.17	16.30	0.5471
10	7.3545	9804.17	15.50	0.5464
10	7.4824	9804.17	16.10	0.5459
10	6.8535	9804.17	15.50	0.5467
10	7.2462	9804.17	15.90	0.5456
10	7.2810	9804.17	16.90	0.5453
10	7.8186	9804.17	17.10	0.5458
10	7.7665	9804.17	14.70	0.5450
10	7.5432	9804.17	15.40	0.5461
10	7.0650	9804.17	14.40	0.5468
10	7.2369	9804.17	17.00	0.5459
10	7.2155	9804.17	14.50	0.5453
10	7.2018	9804.17	15.50	0.5457
10	7.2923	9804.17	14.20	0.5452
10	7.4021	9804.17	16.20	0.5459
10	7.2149	9804.17	12.50	0.5451
10	7.1715	9804.17	14.70	0.5457
10	7.7822	9804.17	15.30	0.5453
10	7.6768	9804.17	14.30	0.5458
10	7.1976	9804.17	17.10	0.5459
10	7.9141	9804.17	13.30	0.5462
10	7.3949	9804.17	14.60	0.5470
11	7.4016	9804.17	15.90	0.5446
11	6.5357	9804.17	17.90	0.5449
11	7.1989	9804.17	18.00	0.5470
11	7.7195	9804.17	15.10	0.5453
11	7.4928	9804.17	16.60	0.5450
11	7.4901	9804.17	16.30	0.5452
11	7.5795	9804.17	14.90	0.5488
11	7.4303	9804.17	14.90	0.5451
11	6.5771	9804.17	16.50	0.5452
11	7.3925	9804.17	16.20	0.5449
11	7.8873	9804.17	17.10	0.5451
11	7.2169	9804.17	14.80	0.5447
11	7.8815	9804.17	15.60	0.5461
11	7.5435	9804.17	16.30	0.5449
11	6.9656	9804.17	15.80	0.5455
11	6.6867	9804.17	17.00	0.5449
11	7.3148	9804.17	14.00	0.5454
11	7.5800	9804.17	15.40	0.5446
11	7.6234	9804.17	14.70	0.5471
11	6.7896	9804.17	15.30	0.5450
11	7.3849	9804.17	15.90	0.5453
11	7.2387	9804.17	17.00	0.5469
11	7.3840	9804.17	17.90	0.5456
11	7.0069	9804.17	15.40	0.5449
11	7.8119	9804.17	15.30	0.5451
11	7.3495	9804.17	17.20	0.5450
11	7.3262	9804.17	15.30	0.5456
11	7.2048	9804.17	15.90	0.5448
11	7.1690	9804.17	16.20	0.5452
11	7.2366	9804.17	14.50	0.5450
11	7.7504	9804.17	16.60	0.5453
11	7.4139	9804.17	15.10	0.5449
12	8.2313	9804.17	16.20	0.5412
12	6.9769	9804.17	17.10	0.5442
12	7.4333	9804.17	14.00	0.5425
12	6.7195	9804.17	15.80	0.5430
12	7.6735	9804.17	16.10	0.5428
12	7.2335	9804.17	16.50	0.5423
12	7.4380	9804.17	14.40	0.5416
12	7.0129	9804.17	16.10	0.5415
12	6.8605	9804.17	15.10	0.5413
12	6.5180	9804.17	15.50	0.5412
12	7.2796	9804.17	16.10	0.5414
12	7.5056	9804.17	16.20	0.5413
12	7.2414	9804.17	15.70	0.5416
12	6.6342	9804.17	14.90	0.5416
12	7.2154	9804.17	14.40	0.5412
12	7.0600	9804.17	15.70	0.5412
12	6.9103	9804.17	15.10	0.5416
12	6.5328	9804.17	15.70	0.5415
12	7.1047	9804.17	16.90	0.5414
12	7.2177	9804.17	16.00	0.5416
12	8.1929	9804.17	16.80	0.5416
12	7.4233	9804.17	14.70	0.5412
12	7.9384	9804.17	15.10	0.5415
12	7.4943	9804.17	15.80	0.5413
12	7.6698	9804.17	15.90	0.5462
12	7.2259	9804.17	16.80	0.5393
12	8.0605	9804.17	14.80	0.5405
12	8.0563	9804.17	15.00	0.5393
12	6.9960	9804.17	15.70	0.5396
12	8.0641	9804.17	15.90	0.5392
12	6.9595	9804.17	14.00	0.5403
12	8.2371	9804.17	16.60	0.5398
13	7.7739	9804.17	15.50	0.5386
13	6.6407	9804.17	15.90	0.5428
13	7.1611	9804.17	15.30	0.5427
13	6.8553	9804.17	16.30	0.5420
13	7.2482	9804.17	15.50	0.5426
13	7.1492	9804.17	15.90	0.5426
13	7.8285	9804.17	14.50	0.5424
13	7.3927	9804.17	15.60	0.5425
13	6.5132	9804.17	16.60	0.5427
13	7.7550	9804.17	15.90	0.5422
13	7.3469	9804.17	15.10	0.5486
13	6.9092	9804.17	16.40	0.5416
13	6.8296	9804.17	16.30	0.5420
13	7.1021	9804.17	14.90	0.5413
13	8.0031	9804.17	13.90	0.5417
13	6.8442	9804.17	15.90	0.5415
13	7.1908	9804.17	15.80	0.5420
13	7.2347	9804.17	16.30	0.5419
13	7.4758	9804.17	14.40	0.5419
13	6.7820	9804.17	14.80	0.5421
13	6.8749	9804.17	16.50	0.5417
13	7.3548	9804.17	15.40	0.5416
13	8.0035	9804.17	15.90	0.5417
13	7.8974	9804.17	17.40	0.5416
13	6.7716	9804.17	16.60	0.5423
13	6.6947	9804.17	17.00	0.5439
13	7.2008	9804.17	15.40	0.5423
13	7.6933	9804.17	14.20	0.5440
13	7.6984	9804.17	15.70	0.5420
13	6.6790	9804.17	16.20	0.5415
13	7.8364	9804.17	16.00	0.5417
13	7.0820	9804.17	14.80	0.5420
14	6.7019	9804.17	16.40	0.5380
14	8.0295	9804.17	15.90	0.5422
14	7.1452	9804.17	15.40	0.5424
14	6.9822	9804.17	14.00	0.5423
14	7.1180	9804.17	16.90	0.5421
14	7.5857	9804.17	16.20	0.5417
14	6.9890	9804.17	15.40	0.5433
14	7.3857	9804.17	12.70	0.5417
14	6.8781	9804.17	15.00	0.5420
14	6.9004	9804.17	15.40	0.5417
14	6.6447	9804.17	16.80	0.5425
14	7.0582	9804.17	15.30	0.5418
14	7.4762	9804.17	15.00	0.5424
14	7.5741	9804.17	16.40	0.5417
14	6.8303	9804.17	16.40	0.5434
14	7.5234	9804.17	14.10	0.5416
14	8.0077	9804.17	15.10	0.5446
14	7.2631	9804.17	15.40	0.5413
14	7.3018	9804.17	15.80	0.5415
14	7.3290	9804.17	16.50	0.5412
14	7.6962	9804.17	15.10	0.5422
14	7.5281	9804.17	16.00	0.5412
14	7.0415	9804.17	15.50	0.5412
14	6.9090	9804.17	16.60	0.5412
14	7.8183	9804.17	14.10	0.5416
14	8.1186	9804.17	15.70	0.5417
14	7.3494	9804.17	16.20	0.5412
14	6.4640	9804.17	16.10	0.5410
14	7.0984	9804.17	14.00	0.5413
14	6.9614	9804.17	15.70	0.5411
14	7.1526	9804.17	15.60	0.5413
14	7.5618	9804.17	16.30	0.5422
15	7.3960	9804.17	14.80	0.5385
15	6.7472	9804.17	15.80	0.5416
15	7.1116	9804.17	15.50	0.5409
15	7.4134	9804.17	16.40	0.5414
15	7.7046	9804.17	15.10	0.5410
15	7.7060	9804.17	16.70	0.5412
15	7.4139	9804.17	16.10	0.5414
15	7.2195	9804.17	15.70	0.5597
15	6.6766	9804.17	16.30	0.5410
15	7.3468	9804.17	15.50	0.5411
15	6.9021	9804.17	13.60	0.5411
15	7.4992	9804.17	14.60	0.5442
15	7.3190	9804.17	15.80	0.5416
15	7.2115	9804.17	15.30	0.5411
15	7.5470	9804.17	15.50	0.5410
15	7.1737	9804.17	14.90	0.5412
15	7.4963	9804.17	15.60	0.5409
15	7.3827	9804.17	15.40	0.5415
15	6.7021	9804.17	16.50	0.5416
15	7.5820	9804.17	16.40	0.5412
15	7.5850	9804.17	16.90	0.5413
15	6.8619	9804.17	16.10	0.5416
15	7.8480	9804.17	15.50	0.5411
15	7.9981	9804.17	16.30	0.5411
15	7.1737	9804.17	15.60	0.5413
15	7.2152	9804.17	14.80	0.5410
15	6.9841	9804.17	15.40	0.5418
15	6.8573	9804.17	16.90	0.5411
15	6.9784	9804.17	16.10	0.5409
15	7.4031	9804.17	15.50	0.5412
15	7.8918	9804.17	14.50	0.5425
15	7.3923	9804.17	16.00	0.5413
16	7.2002	9804.17	15.20	0.5422
16	7.5053	9804.17	13.90	0.5412
16	7.3899	9804.17	15.40	0.5412
16	8.2041	9804.17	16.30	0.5414
16	7.5087	9804.17	15.90	0.5414
16	7.4181	9804.17	16.00	0.5418
16	6.9470	9804.17	15.70	0.5416
16	7.9182	9804.17	15.40	0.5414
16	7.3404	9804.17	16.30	0.5419
16	7.3250	9804.17	15.10	0.5412
16	7.6873	9804.17	15.80	0.5419
